element,ion,wavelength_nm,strength_percentile
Rb,3,227.2968,4
Sr,3,227.3028,62
Sc,2,227.3109,79
Zn,2,227.3150,17
Cr,3,227.3300,80
Ir,2,227.3325,51
Mg,3,227.3414,23
Ne,3,227.3583,89
Co,2,227.3591,54
Sr,3,227.3708,98
Kr,3,227.3760,5
Cs,2,227.3840,79
Nb,3,227.3920,51
Cs,3,227.3997,16
Pt,1,227.4068,35
Rb,2,227.4269,55
Cs,3,227.4293,11
Pt,1,227.4381,93
Sr,3,227.4469,56
Re,1,227.4620,93
Cu,2,227.4741,66
Pt,1,227.4841,81
Ag,2,227.5178,90
Nb,3,227.5230,80
Re,2,227.5250,99
Co,2,227.5316,29
Pt,2,227.5341,65
Ar,2,227.5361,13
Co,2,227.5405,11
Cr,3,227.5430,44
Ca,1,227.5460,10
Mo,3,227.5470,9
Rb,3,227.5572,28
Mo,3,227.5640,12
Ir,2,227.5660,71
Rb,2,227.5914,13
Ca,3,227.6012,19
Co,2,227.6170,49
Rh,2,227.6210,85
Cu,2,227.6258,95
Cr,3,227.6380,82
Pt,1,227.6423,59
Zr,3,227.6487,80
Ca,3,227.6512,87
Bi,1,227.6558,88
Pt,2,227.6707,4
Eu,3,227.6850,54
Pt,1,227.6855,54
Tm,3,227.6910,80
Lu,2,227.6940,37
Hf,2,227.7160,84
Ni,2,227.7280,66
Ag,2,227.7306,83
Pt,2,227.7365,44
Co,2,227.7425,33
Cr,3,227.7470,46
Au,2,227.7520,31
W,1,227.7583,10
Er,3,227.7650,89
Sr,3,227.7862,95
W,2,227.7973,7
Ru,1,227.8190,44
In,1,227.8196,29
S,2,227.8209,51
Ni,2,227.8320,4
Cu,2,227.8338,70
Cl,3,227.8340,13
Na,3,227.8413,90
Co,2,227.8469,20
Ba,3,227.8639,74
Ba,3,227.8746,27
Pt,2,227.8763,1
Ni,2,227.8770,68
Ne,3,227.8951,65
Co,2,227.9021,2
Ar,3,227.9033,70
Nb,3,227.9360,52
Ar,3,227.9470,17
Na,3,227.9482,78
S,2,227.9516,31
Pt,2,227.9541,49
Ru,1,227.9584,83
Ar,3,227.9680,26
Kr,3,227.9790,22
Ta,1,227.9850,61
Ag,2,227.9981,99
Cs,2,227.9988,52
Ir,1,228.0000,77
Tm,3,228.0080,1
W,2,228.0287,4
Pt,2,228.0308,66
Co,2,228.0373,63
W,3,228.0425,77
S,2,228.0448,51
Pt,1,228.0492,54
Ba,3,228.0684,95
Sc,1,228.0833,87
Ar,3,228.0850,37
Co,2,228.0871,2
Cu,2,228.0942,73
Pt,2,228.1194,93
Ar,3,228.1199,38
Tm,3,228.1270,1
Kr,3,228.1320,5
Ca,3,228.1468,24
Nb,3,228.1510,82
Co,2,228.1579,11
Na,3,228.1620,61
Re,1,228.1620,91
In,2,228.1640,57
Pt,2,228.1696,31
Co,2,228.1899,74
Ir,1,228.1910,77
Ta,2,228.2190,56
W,2,228.2198,71
Ar,3,228.2223,75
Sn,1,228.2248,46
Os,2,228.2260,91
Co,2,228.2359,8
Cs,2,228.2509,1
Ar,2,228.2620,81
Rb,3,228.2706,4
Kr,3,228.2800,31
Tm,3,228.2860,2
Sc,2,228.2936,31
Tm,3,228.2980,26
Yb,3,228.2990,71
Co,2,228.3076,67
Zr,3,228.3163,33
Ar,2,228.3243,81
Au,2,228.3300,32
Co,2,228.3521,39
Zr,3,228.3552,32
S,3,228.3646,27
Os,1,228.3670,77
Ca,3,228.3683,15
Sr,3,228.3734,62
In,1,228.3750,9
Ne,3,228.3830,9
Cl,3,228.3930,62
Yb,3,228.3990,62
Ar,2,228.3994,88
Cu,2,228.4202,28
Y,3,228.4340,84
Nb,3,228.4400,54
Cr,3,228.4440,95
Cs,3,228.4507,23
S,2,228.4537,5
Ir,1,228.4600,60
Pr,3,228.4620,4
Tm,2,228.4790,64
O,2,228.4836,8
Ta,2,228.5020,13
Al,2,228.5126,56
Br,2,228.5170,39
W,1,228.5170,57
Ta,2,228.5250,86
Ru,1,228.5380,31
Cs,2,228.5405,66
Al,2,228.5470,33
Pt,2,228.5518,62
Na,3,228.5660,82
Al,2,228.5690,18
Xe,2,228.5940,4
Ba,2,228.5989,49
Pt,2,228.6094,34
Cs,2,228.6154,68
Co,2,228.6159,98
Pt,2,228.6438,89
Ag,3,228.6500,11
Tm,3,228.6570,26
Ta,2,228.6590,77
Cu,2,228.6645,81
Cs,2,228.6678,43
Sn,1,228.6681,83
N,2,228.6690,19
Rb,2,228.6821,77
Ir,2,228.6895,58
Ar,2,228.6925,63
Rb,3,228.6936,24
Pt,2,228.6971,68
Rb,3,228.7122,5
Tm,3,228.7210,52
Ta,2,228.7270,42
Pt,2,228.7364,92
In,2,228.7395,28
Re,1,228.7510,95
Br,2,228.7600,40
Tl,1,228.7600,24
Rb,3,228.7644,54
Ni,2,228.7650,21
Hg,2,228.7705,7
Ce,3,228.7820,40
Pt,2,228.7825,6
Cd,1,228.8022,98
Sc,1,228.8059,88
Sc,2,228.8059,68
As,1,228.8120,92
Pt,2,228.8205,98
N,2,228.8440,5
W,3,228.8527,86
Rh,1,228.8570,65
Ar,2,228.8766,65
Ar,3,228.8820,8
Sc,2,228.8839,43
Co,2,228.8880,51
Co,2,228.8921,51
Sb,1,228.8980,45
Hg,2,228.9094,12
Ta,2,228.9160,89
Sr,3,228.9224,83
Cr,3,228.9230,21
Co,2,228.9235,37
Pt,1,228.9276,84
Ar,3,228.9310,27
W,3,228.9311,62
Os,1,228.9320,68
Cu,2,228.9416,68
Ar,2,228.9768,84
Rb,3,228.9918,6
W,3,228.9952,33
Co,2,228.9961,46
Ni,1,228.9980,88
Rb,2,228.9995,28
Cu,2,229.0161,55
Sr,3,229.0232,70
Nb,3,229.0360,84
Ar,2,229.0425,34
Co,2,229.0523,15
Ar,3,229.0610,49
Co,2,229.0628,63
Cr,3,229.0660,47
Sc,2,229.0703,20
Ir,2,229.0800,79
Cs,2,229.0813,27
Xe,3,229.0834,47
O,2,229.0839,58
Cu,2,229.1002,78
W,3,229.1017,42
Si,1,229.1030,11
W,3,229.1146,42
Rb,2,229.1226,5
Kr,3,229.1280,5
Co,2,229.1311,68
Ar,3,229.1359,50
Au,2,229.1400,34
Pd,3,229.1450,4
Eu,3,229.1620,88
Rb,2,229.1707,95
Sr,3,229.1722,56
Hg,2,229.1963,79
Co,2,229.1991,96
Ar,2,229.2132,56
Ar,3,229.2265,38
Kr,3,229.2280,62
Co,2,229.2315,18
Ar,3,229.2390,38
Pt,1,229.2399,94
Xe,2,229.2400,24
Gd,3,229.2510,29
Ta,2,229.2540,31
Cu,2,229.2690,31
Co,2,229.2766,52
V,3,229.2860,88
Cu,2,229.2970,34
Ar,3,229.2975,86
Ir,2,229.3020,45
Fe,3,229.3057,23
O,2,229.3301,66
Co,2,229.3389,50
W,3,229.3421,86
Co,2,229.3429,75
Br,3,229.3440,65
Sb,1,229.3440,51
Pt,2,229.3467,43
Ba,3,229.3471,35
Ca,3,229.3639,48
Cu,1,229.3845,48
Pt,2,229.4006,36
Ar,3,229.4050,17
Ga,1,229.4190,19
W,3,229.4194,16
W,2,229.4195,4
Cu,2,229.4367,95
Re,1,229.4490,95
W,1,229.4494,40
W,2,229.4544,70
Xe,2,229.4570,19
Tm,3,229.4730,62
Ar,3,229.4910,39
Mo,3,229.4970,91
Rb,3,229.4971,55
Ir,1,229.5080,60
Cr,2,229.5163,23
Ar,2,229.5349,37
Si,3,229.5480,15
Cr,3,229.5550,33
Pt,2,229.5676,74
Nb,2,229.5680,74
W,3,229.5686,54
Pt,1,229.5744,60
Fe,3,229.5861,47
Pt,2,229.5874,54
Ag,2,229.5954,76
W,2,229.5979,29
Hg,2,229.6178,83
Tm,3,229.6210,99
Ar,3,229.6240,27
Ir,2,229.6268,52
Sn,2,229.6293,14
Pd,2,229.6516,89
Xe,2,229.6520,36
Ni,2,229.6550,6
Sr,3,229.6553,41
K,2,229.6790,1
C,3,229.6870,98
Si,3,229.6870,68
Be,2,229.6970,69
Ir,2,229.7138,71
Ni,2,229.7140,8
Ar,3,229.7150,39
Cr,2,229.7170,45
Pt,2,229.7187,68
Rb,2,229.7248,57
Os,1,229.7310,53
W,3,229.7399,43
Lu,2,229.7410,49
Tm,3,229.7430,27
La,3,229.7740,84
Cs,3,229.7834,87
Ga,1,229.7869,7
Pt,2,229.8016,25
Tl,2,229.8040,97
Re,2,229.8090,79
Pt,2,229.8149,36
Ir,1,229.8159,80
W,2,229.8234,37
Kr,3,229.8290,6
Co,2,229.8303,13
In,1,229.8330,11
Ca,3,229.8335,35
Pt,1,229.8368,38
W,2,229.8643,29
Sr,3,229.8680,62
Ce,3,229.8700,41
In,1,229.8700,12
Co,2,229.8734,25
Pt,1,229.8786,35
Rb,2,229.8803,67
Ba,3,229.8988,45
Sc,2,229.9050,57
Ar,3,229.9062,1
Kr,3,229.9150,6
Pt,2,229.9202,25
Pt,2,229.9432,50
Al,3,229.9470,25
Cu,3,229.9470,16
Cu,2,229.9488,66
Ir,1,229.9530,68
Co,2,229.9769,75
Re,1,229.9770,70
Hg,2,229.9813,6
Cr,2,230.0032,54
W,2,230.0099,78
Rb,3,230.0125,77
Ar,2,230.0179,78
Sc,2,230.0219,32
O,2,230.0331,78
Xe,3,230.0353,17
Gd,3,230.0380,15
Ir,1,230.0500,83
Ce,3,230.0650,54
Xe,3,230.0716,17
Ni,1,230.0780,79
Ar,3,230.0782,28
Co,2,230.0809,84
Xe,3,230.0876,17
In,3,230.0900,27
Ir,2,230.0904,75
Si,3,230.0930,46
Co,2,230.0993,69
Fe,2,230.1174,49
W,3,230.1298,8
Hg,2,230.1363,7
Co,2,230.1403,46
Zr,3,230.1459,80
Ta,2,230.1470,24
W,2,230.1644,55
Sr,3,230.1684,63
Ar,2,230.1826,18
Co,2,230.1838,13
Hg,1,230.2059,76
198Hg,1,230.2065,17
Ar,2,230.2078,56
Nb,2,230.2080,63
Ce,3,230.2090,64
Rb,2,230.2144,52
Ar,3,230.2170,84
Ta,2,230.2240,67
Pt,2,230.2307,83
In,1,230.2490,13
Ru,1,230.2540,52
O,2,230.2808,58
Fe,3,230.2809,7
Ar,3,230.2920,50
Ta,2,230.2930,67
Re,1,230.2990,79
Ni,2,230.3000,74
Si,1,230.3060,39
Cu,1,230.3117,13
Pt,1,230.3207,64
W,2,230.3291,56
Ta,2,230.3490,51
Na,2,230.3582,8
Sr,3,230.3586,70
Gd,3,230.3720,23
Xe,3,230.3735,17
W,2,230.3819,92
Ne,3,230.3891,47
Co,2,230.3969,82
Rb,3,230.4144,93
Ir,1,230.4220,92
Ba,2,230.4247,91
Mo,2,230.4250,64
Mo,3,230.4260,48
Eu,3,230.4370,54
Rb,3,230.4446,78
Tm,3,230.4640,2
Au,2,230.4690,61
Cs,3,230.4762,67
Nb,3,230.4780,35
Tm,3,230.4820,52
Ne,3,230.4834,55
Ca,3,230.4948,9
Co,2,230.4954,52
Mn,2,230.5003,17
Tm,3,230.5030,95
In,2,230.5290,61
Yb,3,230.5320,79
Kr,3,230.5390,74
Ca,3,230.5413,16
Ne,3,230.5459,37
Ir,1,230.5470,66
Ba,3,230.5785,12
Co,2,230.5900,26
Co,2,230.6009,37
Pt,2,230.6012,58
In,2,230.6064,98
Sr,3,230.6110,63
Sb,1,230.6460,75
Re,1,230.6540,81
Ne,3,230.6589,65
Ir,2,230.6770,81
In,1,230.6860,60
W,2,230.6919,67
Mo,2,230.6970,65
Co,2,230.7003,64
Gd,3,230.7030,40
Cr,2,230.7190,30
Ne,3,230.7233,37
Rb,3,230.7248,58
Ir,1,230.7270,44
Ir,2,230.7453,16
Ac,2,230.7500,79
Co,2,230.7506,31
Cr,2,230.7518,67
Pr,3,230.7590,5
W,2,230.7655,10
Cs,2,230.7685,3
Cs,3,230.7707,55
Co,2,230.7754,61
Pr,3,230.7770,5
Sc,3,230.7822,36
Co,2,230.7860,97
Pt,1,230.8044,88
Zr,3,230.8109,82
Si,3,230.8190,69
Os,1,230.8310,73
Pr,3,230.8410,5
Rb,3,230.8421,6
Ta,2,230.8460,3
Kr,3,230.8700,72
Co,2,230.8734,72
Ir,1,230.8930,83
Co,1,230.9020,77
Co,2,230.9055,42
Ar,2,230.9097,9
Ar,2,230.9152,85
Er,3,230.9190,68
Yb,3,230.9270,62
In,1,230.9320,20
I,3,230.9380,4
Rb,3,230.9455,25
Cu,2,230.9519,70
Ag,1,230.9560,55
In,1,230.9750,15
Rh,1,230.9820,58
W,3,230.9824,16
W,2,230.9850,14
Nb,3,230.9920,9
Na,3,230.9988,90
Cr,3,230.9990,22
Ag,3,231.0040,98
Sc,3,231.0239,53
Ca,3,231.0294,16
Sr,3,231.0327,84
Co,2,231.0333,7
Ca,3,231.0796,72
Ni,1,231.0960,91
Pt,2,231.0962,99
Al,1,231.1035,42
Tm,3,231.1160,99
Pr,3,231.1290,5
Co,2,231.1361,54
Pr,3,231.1440,6
Sb,1,231.1470,99
Co,2,231.1604,94
Co,2,231.1691,14
Pt,2,231.1864,59
Eu,3,231.1920,6
Kr,2,231.2017,11
W,3,231.2020,16
Ca,3,231.2076,95
Ar,3,231.2124,50
Al,2,231.2225,2
Xe,3,231.2276,37
Ag,2,231.2320,54
Ni,1,231.2340,90
Sc,3,231.2382,40
Cd,2,231.2420,2
Rb,3,231.2456,88
Al,1,231.2491,52
Co,2,231.2557,76
Ag,1,231.2600,5
Ta,2,231.2600,68
Zr,3,231.2674,7
Tm,3,231.2720,95
Cd,2,231.2766,96
Co,2,231.2776,52
Co,2,231.2803,64
W,2,231.2916,4
Re,1,231.2970,43
Pt,2,231.3037,70
In,2,231.3217,73
Br,3,231.3290,13
Nb,3,231.3300,85
Re,1,231.3340,37
Co,2,231.3345,35
Xe,3,231.3392,47
Ba,3,231.3413,35
Hf,3,231.3440,60
Gd,3,231.3500,20
Al,1,231.3526,64
Gd,3,231.3560,57
Co,2,231.3604,78
Zr,3,231.3651,1
W,2,231.3655,14
Ni,1,231.3660,86
Ar,2,231.3719,95
Os,2,231.3750,67
Al,2,231.3768,70
Rb,3,231.3804,39
Ni,1,231.3980,87
Co,2,231.4029,62
Co,2,231.4056,91
W,3,231.4094,54
Hg,3,231.4150,38
Pr,3,231.4180,6
V,3,231.4180,45
Ge,1,231.4201,59
Kr,2,231.4243,7
Co,3,231.4243,53
In,2,231.4420,1
Yb,3,231.4490,74
Au,2,231.4550,36
Rb,3,231.4566,64
Cr,3,231.4630,49
W,2,231.4632,27
W,3,231.4638,87
Co,2,231.4654,70
Cr,2,231.4722,17
Tm,3,231.4880,27
Ir,2,231.4904,90
Sr,3,231.4952,95
Ar,2,231.4971,87
Co,2,231.4975,86
Al,1,231.4983,43
Pt,2,231.5014,56
W,2,231.5018,84
Gd,3,231.5090,16
In,1,231.5090,16
Ar,2,231.5310,37
Ir,1,231.5333,18
Ir,1,231.5378,69
Co,2,231.5413,7
Pr,3,231.5460,6
Ta,2,231.5460,64
Pt,1,231.5502,77
Kr,2,231.5533,11
Na,2,231.5647,65
Cu,2,231.5681,28
Cs,2,231.5693,71
Fe,3,231.5700,24
Co,2,231.5744,7
Au,2,231.5750,18
Sb,1,231.5890,53
Co,2,231.5963,7
Tl,1,231.5980,73
Ni,2,231.6040,76
Ac,2,231.6060,61
O,2,231.6139,8
Ar,2,231.6297,97
Kr,2,231.6321,19
Sr,3,231.6352,63
N,2,231.6490,30
Xe,3,231.6583,25
N,2,231.6690,20
O,2,231.6765,9
Xe,2,231.6800,8
Cs,3,231.6875,95
Ar,3,231.6891,59
Kr,3,231.7010,50
Ag,2,231.7034,96
N,2,231.7050,39
Ag,2,231.7065,77
Co,2,231.7070,99
Ni,1,231.7160,87
Sn,1,231.7230,92
Ag,2,231.7260,30
Pt,2,231.7298,27
Br,2,231.7300,84
Ce,3,231.7340,71
Tm,3,231.7350,53
Ar,3,231.7376,66
Ir,2,231.7442,74
Al,1,231.7482,71
Ba,3,231.7500,35
Ar,2,231.7746,77
Ru,1,231.7800,69
La,2,231.7820,43
Pt,2,231.7908,21
Ar,3,231.7933,88
Pt,2,231.8008,75
V,3,231.8060,58
Mg,3,231.8125,24
Pr,3,231.8150,7
Pt,1,231.8296,91
Ar,3,231.8350,8
Pr,3,231.8360,7
Rh,1,231.8360,36
Co,2,231.8425,55
Ce,3,231.8640,78
Pr,3,231.8640,7
Pr,3,231.8820,7
Pr,3,231.8970,8
V,3,231.9000,48
Ar,3,231.9012,75
Al,1,231.9057,53
Cr,3,231.9070,83
Rh,1,231.9100,54
Pt,2,231.9125,1
In,2,231.9154,52
Ta,2,231.9160,47
Re,1,231.9190,38
Fe,3,231.9222,26
Ar,3,231.9263,66
Cr,2,231.9368,51
Co,2,231.9390,74
Pr,3,231.9400,8
La,2,231.9440,66
Fe,3,231.9468,10
Cu,1,231.9563,6
Co,3,231.9642,55
O,2,231.9687,30
Xe,2,231.9700,3
Ni,2,231.9750,22
Pt,2,231.9821,8
Co,2,231.9830,39
Pt,2,231.9888,83
Y,3,231.9920,1
Ni,1,232.0030,92
Cr,2,232.0076,6
Re,1,232.0160,67
Os,1,232.0180,67
Ag,2,232.0245,99
Co,2,232.0306,10
Pr,3,232.0410,8
Cs,3,232.0525,18
Yb,2,232.0810,80
Ne,3,232.0840,2
Tm,3,232.0960,63
W,3,232.1045,55
Cs,3,232.1063,78
Cd,2,232.1074,83
Hf,2,232.1140,57
Co,2,232.1229,66
Ca,3,232.1239,51
Ni,1,232.1380,90
Ag,2,232.1433,93
Ir,1,232.1450,66
Co,2,232.1462,25
Al,1,232.1562,82
Ir,1,232.1580,67
Co,3,232.1675,65
Fe,3,232.1710,32
Rh,1,232.1730,55
Pt,2,232.1742,54
Fe,2,232.1756,6
Co,2,232.2007,71
Ru,1,232.2010,27
O,2,232.2142,9
Au,3,232.2270,87
Ir,2,232.2310,81
Hf,2,232.2470,83
Re,1,232.2490,84
Cs,2,232.2522,40
Rh,1,232.2580,79
Ni,1,232.2680,65
Ir,2,232.2730,62
Tm,3,232.2830,28
Kr,3,232.2950,62
Cu,2,232.3004,70
B,2,232.3031,84
Rb,2,232.3032,35
W,2,232.3033,78
W,2,232.3112,67
Gd,3,232.3120,35
Co,1,232.3140,75
Gd,3,232.3180,58
Hg,1,232.3197,75
Hf,2,232.3250,66
In,2,232.3306,11
Ca,3,232.3329,48
Co,3,232.3341,27
Rb,3,232.3378,7
In,2,232.3387,33
Cl,3,232.3500,35
Ba,3,232.3505,98
Rb,2,232.3622,53
Tm,3,232.3710,3
Ag,2,232.3739,80
Rb,3,232.3742,64
Tm,3,232.3770,3
Gd,3,232.3780,85
V,3,232.3820,62
Cu,2,232.3928,62
Cs,3,232.3964,59
Os,1,232.3980,42
W,3,232.4104,55
Ir,2,232.4110,85
Al,2,232.4199,87
Co,2,232.4238,73
Os,1,232.4240,73
Co,2,232.4280,38
Ce,3,232.4310,72
Co,2,232.4321,78
Ag,2,232.4339,58
Fe,3,232.4360,17
In,1,232.4407,30
Tm,3,232.4430,4
Hf,2,232.4500,24
Be,2,232.4600,44
Tm,3,232.4620,63
Ag,2,232.4667,95
Ir,2,232.4686,92
C,2,232.4720,41
Cr,3,232.4880,96
Hf,2,232.4890,66
In,1,232.4924,22
Ag,2,232.4947,95
Co,2,232.5189,17
C,2,232.5407,76
Al,2,232.5436,33
Al,2,232.5494,84
Co,2,232.5515,47
Ni,1,232.5790,88
W,3,232.5884,5
Cu,2,232.5910,39
Mo,1,232.5940,19
Cs,3,232.5954,82
W,2,232.6089,97
Co,2,232.6099,100
Pt,1,232.6105,66
Tm,3,232.6190,96
Pt,2,232.6338,84
Pt,2,232.6415,8
Al,2,232.6445,34
Rh,1,232.6470,65
Co,2,232.6473,82
W,3,232.6482,55
In,2,232.6491,3
Al,2,232.6496,84
W,3,232.6552,5
Mo,3,232.6750,16
Fe,3,232.6949,33
Ir,2,232.6969,52
C,2,232.6970,3
Os,1,232.6990,47
Ti,3,232.7019,77
Tm,3,232.7020,5
Hg,2,232.7233,16
Tm,3,232.7250,43
Y,3,232.7310,86
Fe,2,232.7396,88
Cu,2,232.7567,14
Co,2,232.7675,89
Eu,3,232.7690,6
Ge,1,232.7918,61
In,2,232.7949,52
Ir,1,232.7980,45
Co,2,232.8020,43
Pt,2,232.8022,10
C,2,232.8150,54
Al,2,232.8200,12
W,2,232.8313,44
Tm,3,232.8500,97
Pr,3,232.8560,9
Rh,1,232.8640,52
Re,1,232.8660,57
B,2,232.8668,69
B,3,232.8700,55
La,2,232.8750,38
Co,2,232.9106,64
Kr,3,232.9220,6
Tm,3,232.9290,98
Gd,3,232.9350,71
Ca,3,232.9387,18
Ir,2,232.9411,87
W,3,232.9559,5
Mg,2,232.9578,13
W,2,232.9690,7
Tm,2,232.9770,35
Fe,3,232.9906,22
Ar,3,232.9920,39
Ni,1,232.9960,81
Rb,2,233.0051,45
Nb,3,233.0220,10
Be,1,233.0230,7
Pt,2,233.0236,12
Kr,3,233.0300,50
Co,2,233.0357,69
V,3,233.0420,95
Mo,1,233.0460,53
Co,2,233.0562,34
Zr,3,233.0562,30
W,3,233.0653,55
Tm,3,233.0870,28
Mo,3,233.0930,88
Pt,1,233.0970,39
Ba,3,233.1101,100
Rb,2,233.1275,53
Ta,2,233.1290,4
Fe,2,233.1308,89
Ti,3,233.1352,92
Ag,2,233.1366,96
Ar,2,233.1450,94
Ti,3,233.1660,92
V,3,233.1750,65
Sr,3,233.1763,75
Tm,3,233.1800,91
Ta,2,233.1980,82
W,3,233.2009,87
Mo,2,233.2120,56
Ta,2,233.2190,75
W,3,233.2302,78
Sn,1,233.2366,37
Pb,1,233.2418,63
Cs,2,233.2463,84
S,2,233.2493,76
Cs,2,233.2669,12
Co,2,233.2672,23
In,1,233.2755,23
Fe,2,233.2799,96
Se,1,233.2800,41
Co,2,233.2840,52
Hf,2,233.2970,51
Rb,2,233.3007,64
B,3,233.3050,54
Ir,1,233.3300,72
Rb,2,233.3393,90
Sn,2,233.3430,6
Fe,2,233.3708,30
Cu,2,233.3743,37
W,2,233.3771,75
Rb,3,233.3799,42
Ir,1,233.3840,79
S,2,233.4037,27
Co,2,233.4067,34
Ta,2,233.4130,9
V,3,233.4200,52
Re,1,233.4330,53
Ti,3,233.4340,92
Si,2,233.4400,34
Ir,1,233.4500,74
Eu,3,233.4560,7
Os,1,233.4560,43
In,2,233.4570,56
Ni,2,233.4580,24
Si,2,233.4610,35
S,2,233.4746,37
Rh,2,233.4770,89
Sr,3,233.4798,96
Sn,1,233.4812,87
Ta,2,233.4880,32
Ir,2,233.4958,78
Ru,2,233.4970,60
Gd,3,233.5010,79
Tm,3,233.5010,53
Ca,3,233.5126,35
Pt,2,233.5189,79
Ba,2,233.5267,94
Ar,3,233.5299,82
Rb,3,233.5421,40
Re,1,233.5730,53
Ta,2,233.5750,19
Hf,1,233.5772,15
Co,1,233.5990,53
Gd,3,233.6020,45
Re,1,233.6100,38
Pr,3,233.6130,9
Cu,2,233.6171,71
Co,2,233.6229,62
S,2,233.6270,90
Rb,3,233.6333,34
W,3,233.6343,33
Cl,3,233.6450,15
Hf,3,233.6470,78
Be,1,233.6500,19
Hf,1,233.6693,16
W,2,233.6715,47
Fe,3,233.6769,42
Os,2,233.6800,83
Li,2,233.6880,37
Li,2,233.6910,63
Br,2,233.6930,61
Rb,3,233.6954,8
Eu,3,233.6960,7
Co,2,233.6998,87
Li,2,233.7000,20
Rb,3,233.7070,83
Ca,3,233.7255,36
Co,2,233.7323,28
Hf,2,233.7330,52
Ni,1,233.7490,75
Ce,3,233.7660,41
Ar,2,233.7778,90
W,2,233.7795,10
Ni,1,233.7820,59
Cs,3,233.7877,21
Co,2,233.7905,99
Rb,2,233.7931,3
Re,1,233.7950,53
Yb,3,233.7970,74
Ir,2,233.7992,69
Fe,2,233.8006,92
Nb,3,233.8090,87
Ar,3,233.8161,28
Ga,1,233.8240,29
Ta,2,233.8280,52
Tm,3,233.8360,80
Ga,1,233.8596,9
Os,1,233.8630,57
Ca,3,233.8654,46
Co,1,233.8670,63
Co,2,233.8728,47
Xe,3,233.8884,18
Fe,3,233.8962,37
Gd,3,233.8970,71
Ti,3,233.9000,96
Co,2,233.9033,97
Pt,2,233.9075,82
W,2,233.9161,34
Zr,3,233.9280,66
Ir,2,233.9310,82
Pt,2,233.9359,54
Hg,2,233.9369,83
Cu,2,233.9727,60
Ar,2,233.9797,31
Eu,3,233.9840,8
Gd,3,233.9880,46
W,3,233.9883,43
Au,2,234.0060,38
Sr,3,234.0128,98
Pt,1,234.0180,83
In,1,234.0186,40
Mo,1,234.0470,39
Cs,3,234.0493,86
Cr,3,234.0510,34
Hg,1,234.0550,56
Cl,3,234.0640,37
Os,1,234.0690,37
Ru,1,234.0690,44
Kr,3,234.0760,63
I,3,234.0850,42
Tm,2,234.0920,30
Ta,2,234.0940,33
W,2,234.1076,7
Co,2,234.1116,90
Ni,2,234.1200,26
W,3,234.1239,43
W,2,234.1368,83
Cu,2,234.1371,28
Pt,2,234.1418,76
Ca,3,234.1546,12
Mo,2,234.1590,68
Ta,2,234.1610,33
Ir,2,234.1697,75
Tm,3,234.1740,64
Rb,3,234.1899,68
Tm,3,234.2040,43
V,2,234.2141,29
Cu,2,234.2172,57
K,2,234.2300,17
Cs,3,234.2594,31
W,3,234.2713,33
Gd,3,234.2740,79
Pt,2,234.2774,24
Ru,2,234.2849,82
Kr,3,234.2900,72
Eu,3,234.3100,8
V,3,234.3100,68
Ir,1,234.3180,88
Cs,2,234.3199,25
Pt,2,234.3243,12
Co,2,234.3316,27
Hf,2,234.3320,58
Pt,1,234.3395,69
W,2,234.3465,60
In,2,234.3490,55
Fe,2,234.3495,98
W,2,234.3497,81
Ar,3,234.3560,18
Ir,1,234.3610,79
Ta,2,234.3640,13
Ag,2,234.3640,69
Os,1,234.3740,58
Ca,3,234.3796,12
In,2,234.3870,13
Fe,2,234.3961,82
As,1,234.4030,4
Nb,3,234.4120,55
Si,2,234.4200,2
Ar,2,234.4203,83
Co,2,234.4273,73
Ba,3,234.4276,12
Fe,2,234.4281,91
Cs,3,234.4366,12
Kr,2,234.4384,12
Xe,2,234.4470,17
Tm,3,234.4590,5
Po,1,234.4610,9
Co,2,234.4629,92
Co,2,234.4665,27
Al,2,234.4690,29
Co,2,234.4706,47
Co,2,234.4779,29
Re,1,234.4780,86
W,3,234.4803,33
Ac,2,234.4871,64
Hf,1,234.4957,6
Ar,3,234.5197,83
Rb,2,234.5206,55
Sr,3,234.5279,39
Fe,2,234.5337,68
Rb,3,234.5371,83
Rh,1,234.5410,36
Ar,3,234.5420,40
Hg,1,234.5430,89
198Hg,1,234.5440,58
Kr,3,234.5450,37
Al,2,234.5470,13
Co,2,234.5496,86
Hg,2,234.5524,81
Ni,1,234.5540,83
Tm,3,234.5610,64
W,3,234.5677,91
Os,1,234.5750,34
In,1,234.5903,35
Al,2,234.5920,13
Ir,2,234.6140,70
Ta,2,234.6420,5
Sc,3,234.6519,42
Gd,3,234.6520,90
In,1,234.6561,32
Co,2,234.6562,93
Zr,3,234.6567,13
Ni,1,234.6630,62
Ti,3,234.6786,96
Eu,3,234.6830,9
V,2,234.6869,10
B,3,234.6890,9
Co,2,234.7116,81
Pt,1,234.7160,42
Os,1,234.7380,58
Co,2,234.7399,83
Tm,3,234.7430,44
Hf,2,234.7440,68
Al,2,234.7516,48
Ni,1,234.7520,74
Ar,3,234.7577,59
Ba,2,234.7592,81
Eu,3,234.7640,9
Kr,3,234.7750,6
Co,2,234.7809,64
Cu,2,234.7890,0
Fe,2,234.8116,94
Fe,2,234.8302,94
Co,2,234.8359,16
Pt,2,234.8484,73
Pt,2,234.8545,74
Be,1,234.8604,98
Cu,2,234.8733,65
Co,3,234.8840,19
W,3,234.8901,6
